Mã Giao Dịch,Tên Khách Hàng,Số Điện Thoại,Kênh Bán,Doanh Thu,Ngày Tạo
TRX-2026-00001,Huỳnh Minh Cường,0942319358,Facebook Ads,752000,02/08/2026
TRX-2026-00002,Bùi Hoài Bình,0984065671,Lazada,5702000,05/08/2026
TRX-2026-00003,Huỳnh Văn Nam,0966679286,Lazada,8391000,01/08/2026
TRX-2026-00004,Phan Ngọc Tâm,0936510620,Tiki,7544000,09/08/2026
TRX-2026-00005,PHẠM THANH CƯỜNG,0960703782,Tiki,6648000,02/08/2026
TRX-2026-00006,Phạm Thanh Vinh,998650103,Facebook Ads,1131000,05/08/2026
TRX-2026-00007,   đặng thành trang  ,0944544284,Facebook Ads,7981000,04/08/2026
TRX-2026-00008,Bùi Thị Giang,0916.382.412,Shopee,6474000,01/08/2026
TRX-2026-00009,Ngô Hồng Cường,0915 809 835,Website,8353000,01/08/2026
TRX-2026-00010,ĐẶNG XUÂN HẢI,0967115665,Tiki,1683000,10/08/2026
TRX-2026-00011,Đỗ Minh Hải,0989158571,TikTok Shop,5901000,04/08/2026
TRX-2026-00012,Dương Ngọc Quân,914684069,TikTok Shop,2010000,01/08/2026
TRX-2026-00013,Dương Anh Linh,0955742655,Shopee,5676000,02/08/2026
TRX-2026-00014,   hồ hồng sơn  ,0923242393,TikTok Shop,219000,02/08/2026
TRX-2026-00015,BÙI ĐỨC AN,0946533126,TikTok Shop,3648000,07/08/2026
TRX-2026-00016,Trần Thị Sơn,0922.928.116,Shopee,3188000,09/08/2026
TRX-2026-00017,Đặng Thị Quân,0986644583,Shopee,7595000,06/08/2026
TRX-2026-00018,Ngô Minh An,942574274,TikTok Shop,5370000,07/08/2026
TRX-2026-00019,Ngô Thanh An,0942119458,Lazada,786000,01/08/2026
TRX-2026-00020,HOÀNG THANH CƯỜNG,0936982534,Shopee,8382000,03/08/2026
TRX-2026-00021,   võ xuân vinh  ,0980494054,Cửa Hàng Trực Tiếp,5665000,04/08/2026
TRX-2026-00022,Dương Hồng Uyên,0982735253,Shopee,4967000,06/08/2026
TRX-2026-00023,Hồ Đức An,0981973160,TikTok Shop,730000,02/08/2026
TRX-2026-00024,Phạm Hoài Trang,940015709,Lazada,3226000,09/08/2026
TRX-2026-00012,HOÀNG ANH GIANG,0936280231,TikTok Shop,4433000,06/08/2026
TRX-2026-00026,Hoàng Đức Linh,0916076335,Lazada,8439000,03/08/2026
TRX-2026-00027,Đỗ Anh Vinh,0948 274 059,Cửa Hàng Trực Tiếp,332000,04/08/2026
TRX-2026-00028,   bùi hoài uyên  ,0951818274,Lazada,6253000,07/08/2026
TRX-2026-00029,Dương Văn An,0925775658,Tiki,6478000,01/08/2026
TRX-2026-00030,HỒ THANH PHÚC,999881096,Cửa Hàng Trực Tiếp,2234000,04/08/2026
TRX-2026-00031,Phạm Hồng Sơn,0948217393,Lazada,6656000,02/08/2026
TRX-2026-00032,Hồ Anh Phúc,0928.434.992,Shopee,1264000,05/08/2026
TRX-2026-00033,Võ Xuân Giang,0945147956,Lazada,5460000,05/08/2026
TRX-2026-00034,Hoàng Thanh Giang,0952151356,Website,1646000,04/08/2026
TRX-2026-00035,   đỗ văn dũng  ,0996039532,TikTok Shop,3578000,05/08/2026
TRX-2026-00036,Vũ Hoài An,999693254,Shopee,1947000,08/08/2026
TRX-2026-00037,Dương Hồng An,0914391795,Website,5956000,01/08/2026
TRX-2026-00038,Dương Anh Cường,0971502861,Website,1727000,04/08/2026
TRX-2026-00039,Nguyễn Đức Nam,0941797689,Shopee,3765000,01/08/2026
,HỒ THỊ QUÂN,0989.190.787,Website,6220000,04/08/2026
TRX-2026-00041,Dương Văn Linh,0983713821,Tiki,2944000,03/08/2026
TRX-2026-00042,   võ thành quân  ,966799065,Facebook Ads,8272000,09/08/2026
TRX-2026-00043,Võ Minh Sơn,0983900847,Website,3905000,01/08/2026
TRX-2026-00044,Hoàng Ngọc Dũng,0951709706,Shopee,716000,08/08/2026
TRX-2026-00045,DƯƠNG XUÂN GIANG,0985 313 054,TikTok Shop,7836000,05/08/2026
TRX-2026-00046,Dương Minh Em,0957931359,Tiki,1975000,04/08/2026
TRX-2026-00047,Ngô Hồng Vinh,0959474705,Website,2261000,08/08/2026
TRX-2026-00048,Nguyễn Hồng Giang,988915197,Tiki,902000,04/08/2026
TRX-2026-00049,   vũ quang nam  ,0967670293,TikTok Shop,7151000,01/08/2026
