Mã Đơn Hàng,Mã Khách Hàng,Tên Khách Hàng,Ngày Mua Hàng,Doanh Thu Đơn
DH-RFM-0001,KH001,Nguyễn Văn An,23/08/2026,3409000
DH-RFM-0002,KH001,Nguyễn Văn An,13/08/2026,7012000
DH-RFM-0003,KH001,Nguyễn Văn An,16/08/2026,5286000
DH-RFM-0004,KH001,Nguyễn Văn An,24/08/2026,11935000
DH-RFM-0005,KH001,Nguyễn Văn An,25/08/2026,9912000
DH-RFM-0006,KH001,Nguyễn Văn An,28/08/2026,3488000
DH-RFM-0007,KH001,Nguyễn Văn An,25/08/2026,6582000
DH-RFM-0008,KH001,Nguyễn Văn An,16/08/2026,11279000
DH-RFM-0009,KH001,Nguyễn Văn An,23/07/2026,3434000
DH-RFM-0010,KH001,Nguyễn Văn An,26/07/2026,6257000
DH-RFM-0011,KH001,Nguyễn Văn An,20/07/2026,11928000
DH-RFM-0012,KH001,Nguyễn Văn An,04/08/2026,6611000
DH-RFM-0013,KH001,Nguyễn Văn An,02/08/2026,7557000
DH-RFM-0014,KH001,Nguyễn Văn An,30/08/2026,5615000
DH-RFM-0015,KH001,Nguyễn Văn An,17/07/2026,9924000
DH-RFM-0016,KH002,Trần Thị Bích,13/08/2026,1573000
DH-RFM-0017,KH002,Trần Thị Bích,17/08/2026,3057000
DH-RFM-0018,KH002,Trần Thị Bích,24/08/2026,1059000
DH-RFM-0019,KH002,Trần Thị Bích,06/08/2026,1092000
DH-RFM-0020,KH002,Trần Thị Bích,08/08/2026,3117000
DH-RFM-0021,KH002,Trần Thị Bích,23/07/2026,2466000
DH-RFM-0022,KH002,Trần Thị Bích,28/08/2026,4063000
DH-RFM-0023,KH002,Trần Thị Bích,27/07/2026,1322000
DH-RFM-0024,KH002,Trần Thị Bích,06/08/2026,945000
DH-RFM-0025,KH002,Trần Thị Bích,26/07/2026,2701000
DH-RFM-0026,KH002,Trần Thị Bích,21/07/2026,3262000
DH-RFM-0027,KH002,Trần Thị Bích,25/07/2026,1875000
DH-RFM-0028,KH003,Lê Hoàng Long,26/08/2026,675000
DH-RFM-0029,KH003,Lê Hoàng Long,19/07/2026,2166000
DH-RFM-0030,KH003,Lê Hoàng Long,12/08/2026,953000
DH-RFM-0031,KH003,Lê Hoàng Long,16/08/2026,1127000
DH-RFM-0032,KH003,Lê Hoàng Long,06/08/2026,2577000
DH-RFM-0033,KH003,Lê Hoàng Long,01/08/2026,3288000
DH-RFM-0034,KH003,Lê Hoàng Long,20/08/2026,3332000
DH-RFM-0035,KH003,Lê Hoàng Long,08/08/2026,2016000
DH-RFM-0036,KH003,Lê Hoàng Long,19/07/2026,2487000
DH-RFM-0037,KH003,Lê Hoàng Long,17/07/2026,884000
DH-RFM-0038,KH003,Lê Hoàng Long,23/07/2026,1701000
DH-RFM-0039,KH003,Lê Hoàng Long,27/07/2026,2305000
DH-RFM-0040,KH003,Lê Hoàng Long,20/08/2026,4086000
DH-RFM-0041,KH003,Lê Hoàng Long,06/08/2026,2511000
DH-RFM-0042,KH003,Lê Hoàng Long,21/07/2026,2099000
DH-RFM-0043,KH004,Phạm Minh Trang,27/08/2026,6752000
DH-RFM-0044,KH004,Phạm Minh Trang,28/08/2026,8168000
DH-RFM-0045,KH004,Phạm Minh Trang,05/08/2026,7386000
DH-RFM-0046,KH004,Phạm Minh Trang,26/08/2026,6456000
DH-RFM-0047,KH004,Phạm Minh Trang,25/07/2026,8155000
DH-RFM-0048,KH004,Phạm Minh Trang,17/08/2026,11179000
DH-RFM-0049,KH005,Đỗ Quang Hưng,19/05/2026,1470000
DH-RFM-0050,KH005,Đỗ Quang Hưng,13/06/2026,1443000
DH-RFM-0051,KH005,Đỗ Quang Hưng,15/06/2026,2452000
DH-RFM-0052,KH005,Đỗ Quang Hưng,03/05/2026,3809000
DH-RFM-0053,KH005,Đỗ Quang Hưng,03/05/2026,3571000
DH-RFM-0054,KH005,Đỗ Quang Hưng,31/05/2026,2096000
DH-RFM-0055,KH005,Đỗ Quang Hưng,29/06/2026,4474000
DH-RFM-0056,KH006,Vũ Thị Ngọc Hà,05/07/2026,685000
DH-RFM-0057,KH006,Vũ Thị Ngọc Hà,02/07/2026,1552000
DH-RFM-0058,KH006,Vũ Thị Ngọc Hà,26/06/2026,3758000
DH-RFM-0059,KH006,Vũ Thị Ngọc Hà,08/07/2026,3452000
DH-RFM-0060,KH006,Vũ Thị Ngọc Hà,29/05/2026,4134000
DH-RFM-0061,KH006,Vũ Thị Ngọc Hà,10/05/2026,2359000
DH-RFM-0062,KH006,Vũ Thị Ngọc Hà,07/05/2026,394000
DH-RFM-0063,KH007,Ngô Thành Nam,09/05/2026,2485000
DH-RFM-0064,KH007,Ngô Thành Nam,03/06/2026,1213000
DH-RFM-0065,KH007,Ngô Thành Nam,09/06/2026,3861000
DH-RFM-0066,KH007,Ngô Thành Nam,26/06/2026,4016000
DH-RFM-0067,KH008,Hoàng Văn Dũng,13/06/2026,4400000
DH-RFM-0068,KH008,Hoàng Văn Dũng,24/06/2026,4458000
DH-RFM-0069,KH009,Lê Thị Mai,11/01/2026,2744000
DH-RFM-0070,KH009,Lê Thị Mai,15/01/2026,4458000
DH-RFM-0071,KH010,Trần Quốc Toản,13/04/2026,3363000
DH-RFM-0072,KH010,Trần Quốc Toản,25/01/2026,1623000
DH-RFM-0073,KH011,Nguyễn Hồng Hạnh,15/02/2026,2955000
DH-RFM-0074,KH011,Nguyễn Hồng Hạnh,01/03/2026,459000
DH-RFM-0075,KH012,Bùi Thanh Tùng,18/04/2026,8947000
DH-RFM-0076,KH013,Đặng Thùy Dương,10/01/2026,2819000
DH-RFM-0077,KH014,Phan Anh Tuấn,02/04/2026,774000
